,hmCH4,hmCO,hmPM10,hmPM25,hmNO2,hmNO,hmNOX,hmSO2,hmWD,hmRH,hmTEMP,hmWS,hmHCNM,hmUVA,hmUVB,hmO3
0,,1.0,9.0,,,,,15.0,,,,,,,,16.0
1,,22.0,12.0,,,,,23.0,,,,,,,,13.0
2,,11.0,13.0,,,,,12.0,,,,,,,,12.0
3,,21.0,18.0,,,,,3.0,,,,,,,,12.0
4,,7.0,6.0,,,,,18.0,,,,,,,,15.0
5,,18.0,17.0,,,,,15.0,,,,,,,,13.0
6,,7.0,12.0,,,,,10.0,,,,,,,,13.0
7,,22.0,16.0,,,,,18.0,,,,,,,,16.0
8,,2.0,13.0,,,,,23.0,,,,,,,,12.0
9,,7.0,9.0,,,,,23.0,,,,,,,,14.0
10,,10.0,20.0,,,,,19.0,,,,,,,,14.0
11,,22.0,17.0,,,,,23.0,,,,,,,,16.0
12,,21.0,18.0,,,,,14.0,,,,,,,,13.0
13,,23.0,13.0,,,,,14.0,,,,,,,,12.0
14,,2.0,16.0,,,,,14.0,,,,,,,,12.0
15,,23.0,11.0,,,,,19.0,,,,,,,,12.0
16,,7.0,12.0,,,,,14.0,,,,,,,,13.0
17,,11.0,12.0,,,,,14.0,,,,,,,,13.0
18,,9.0,8.0,,,,,10.0,,,,,,,,12.0
19,,7.0,5.0,,,,,13.0,,,,,,,,13.0
20,,11.0,14.0,,,,,14.0,,,,,,,,13.0
21,,22.0,19.0,,,,,13.0,,,,,,,,12.0
22,,1.0,19.0,,,,,14.0,,,,,,,,12.0
23,,11.0,11.0,,,,,20.0,,,,,,,,16.0
24,,10.0,9.0,,,,,17.0,,,,,,,,13.0
25,,23.0,15.0,,,,,23.0,,,,,,,,13.0
26,,9.0,13.0,,,,,13.0,,,,,,,,12.0
27,,10.0,14.0,,,,,16.0,,,,,,,,13.0
28,,23.0,11.0,,,,,8.0,,,,,,,,13.0
29,,2.0,5.0,,,,,14.0,,,,,,,,12.0
30,,7.0,19.0,,,,,13.0,,,,,,,,12.0
31,,8.0,12.0,,,,,11.0,,,,,,,,13.0
32,,9.0,16.0,,,,,13.0,,,,,,,,12.0
33,,22.0,19.0,,,,,7.0,,,,,,,,12.0
34,,11.0,14.0,,,,,14.0,,,,,,,,12.0
35,,21.0,19.0,,,,,14.0,,,,,,,,12.0
36,,23.0,13.0,,,,,14.0,,,,,,,,12.0
37,,12.0,15.0,,,,,14.0,,,,,,,,12.0
38,,9.0,9.0,,,,,9.0,,,,,,,,12.0
39,,11.0,11.0,,,,,12.0,,,,,,,,12.0
40,,3.0,5.0,,,,,21.0,,,,,,,,12.0
41,,12.0,8.0,,,,,12.0,,,,,,,,4.0
42,,21.0,18.0,,,,,16.0,,,,,,,,15.0
43,,22.0,18.0,,,,,14.0,,,,,,,,13.0
44,,11.0,7.0,,,,,14.0,,,,,,,,13.0
45,,11.0,11.0,,,,,21.0,,,,,,,,12.0
46,,23.0,10.0,,,,,23.0,,,,,,,,13.0
47,,10.0,10.0,,,,,13.0,,,,,,,,12.0
48,,22.0,5.0,,,,,10.0,,,,,,,,12.0
49,,1.0,5.0,,,,,9.0,,,,,,,,12.0
50,,22.0,6.0,,,,,22.0,,,,,,,,6.0
51,,23.0,5.0,,,,,10.0,,,,,,,,16.0
52,,11.0,6.0,,,,,14.0,,,,,,,,13.0
53,,11.0,12.0,,,,,13.0,,,,,,,,12.0
54,,1.0,14.0,,,,,17.0,,,,,,,,11.0
55,,9.0,9.0,,,,,9.0,,,,,,,,14.0
56,,23.0,12.0,,,,,23.0,,,,,,,,13.0
57,,21.0,12.0,,,,,14.0,,,,,,,,12.0
58,,10.0,10.0,,,,,10.0,,,,,,,,14.0
59,,9.0,10.0,,,,,17.0,,,,,,,,12.0
60,,23.0,21.0,,,,,12.0,,,,,,,,18.0
61,,3.0,12.0,,,,,21.0,,,,,,,,13.0
62,,23.0,11.0,,,,,9.0,,,,,,,,12.0
63,,23.0,12.0,,,,,9.0,,,,,,,,13.0
64,,1.0,12.0,,,,,12.0,,,,,,,,12.0
65,,22.0,11.0,,,,,13.0,,,,,,,,12.0
66,,11.0,11.0,,,,,16.0,,,,,,,,13.0
67,,11.0,12.0,,,,,15.0,,,,,,,,14.0
68,,11.0,12.0,,,,,12.0,,,,,,,,12.0
69,,10.0,10.0,,,,,23.0,,,,,,,,12.0
70,,11.0,11.0,,,,,15.0,,,,,,,,12.0
71,,1.0,12.0,,,,,23.0,,,,,,,,13.0
72,,11.0,13.0,,,,,14.0,,,,,,,,12.0
73,,10.0,9.0,,,,,11.0,,,,,,,,13.0
74,,10.0,10.0,,,,,11.0,,,,,,,,12.0
75,,11.0,12.0,,,,,14.0,,,,,,,,13.0
76,,11.0,7.0,,,,,12.0,,,,,,,,11.0
77,,22.0,12.0,,,,,15.0,,,,,,,,13.0
78,,8.0,14.0,,,,,8.0,,,,,,,,10.0
79,,22.0,7.0,,,,,12.0,,,,,,,,13.0
80,,9.0,8.0,,,,,23.0,,,,,,,,12.0
81,,10.0,11.0,,,,,9.0,,,,,,,,13.0
82,,12.0,14.0,,,,,15.0,,,,,,,,13.0
83,,11.0,9.0,,,,,17.0,,,,,,,,12.0
84,,21.0,13.0,,,,,14.0,,,,,,,,13.0
85,,10.0,16.0,,,,,11.0,,,,,,,,13.0
86,,9.0,13.0,,,,,22.0,,,,,,,,14.0
87,,10.0,13.0,,,,,10.0,,,,,,,,13.0
88,,12.0,13.0,,,,,14.0,,,,,,,,13.0
89,,7.0,13.0,,,,,14.0,,,,,,,,14.0
90,,10.0,13.0,,,,,14.0,,,,,,,,14.0
91,,12.0,12.0,,,,,16.0,,,,,,,,13.0
92,,22.0,10.0,,,,,2.0,,,,,,,,13.0
93,,22.0,14.0,,,,,20.0,,,,,,,,14.0
94,,13.0,14.0,,,,,18.0,,,,,,,,14.0
95,,9.0,8.0,,,,,13.0,,,,,,,,13.0
96,,11.0,11.0,,,,,12.0,,,,,,,,16.0
97,,23.0,8.0,,,,,15.0,,,,,,,,14.0
98,,1.0,9.0,,,,,11.0,,,,,,,,14.0
99,,1.0,18.0,,,,,16.0,,,,,,,,13.0
100,,10.0,14.0,,,,,9.0,,,,,,,,13.0
101,,12.0,15.0,,,,,21.0,,,,,,,,13.0
102,,12.0,13.0,,,,,15.0,,,,,,,,13.0
103,,10.0,15.0,,,,,23.0,,,,,,,,13.0
104,,11.0,10.0,,,,,12.0,,,,,,,,13.0
105,,12.0,14.0,,,,,17.0,,,,,,,,13.0
106,,22.0,10.0,,,,,12.0,,,,,,,,12.0
107,,21.0,10.0,,,,,23.0,,,,,,,,13.0
108,,9.0,14.0,,,,,15.0,,,,,,,,14.0
109,,7.0,6.0,,,,,12.0,,,,,,,,13.0
110,,10.0,8.0,,,,,7.0,,,,,,,,13.0
111,,9.0,12.0,,,,,13.0,,,,,,,,13.0
112,,11.0,6.0,,,,,1.0,,,,,,,,13.0
113,,11.0,16.0,,,,,22.0,,,,,,,,16.0
114,,11.0,15.0,,,,,3.0,,,,,,,,16.0
115,,10.0,11.0,,,,,12.0,,,,,,,,12.0
116,,7.0,6.0,,,,,14.0,,,,,,,,13.0
117,,7.0,14.0,,,,,14.0,,,,,,,,14.0
118,,21.0,18.0,,,,,14.0,,,,,,,,13.0
119,,21.0,15.0,,,,,14.0,,,,,,,,13.0
120,,9.0,8.0,,,,,9.0,,,,,,,,13.0
121,,12.0,10.0,,,,,15.0,,,,,,,,14.0
122,,10.0,7.0,,,,,15.0,,,,,,,,13.0
123,,21.0,18.0,,,,,23.0,,,,,,,,17.0
124,,16.0,15.0,,,,,21.0,,,,,,,,16.0
125,,19.0,10.0,,,,,1.0,,,,,,,,15.0
126,,22.0,14.0,,,,,16.0,,,,,,,,14.0
127,,3.0,13.0,,,,,15.0,,,,,,,,14.0
128,,8.0,13.0,,,,,17.0,,,,,,,,16.0
129,,18.0,14.0,,,,,14.0,,,,,,,,12.0
130,,10.0,9.0,,,,,10.0,,,,,,,,12.0
131,,8.0,9.0,,,,,12.0,,,,,,,,14.0
132,,7.0,14.0,,,,,15.0,,,,,,,,14.0
133,,3.0,9.0,,,,,15.0,,,,,,,,14.0
134,,1.0,11.0,,,,,13.0,,,,,,,,13.0
135,,10.0,9.0,,,,,11.0,,,,,,,,13.0
136,,22.0,15.0,,,,,15.0,,,,,,,,16.0
137,,11.0,15.0,,,,,15.0,,,,,,,,14.0
138,,14.0,10.0,,,,,17.0,,,,,,,,15.0
139,,10.0,10.0,,,,,16.0,,,,,,,,16.0
140,,23.0,15.0,,,,,14.0,,,,,,,,14.0
141,,2.0,18.0,,,,,15.0,,,,,,,,13.0
142,,20.0,15.0,,,,,17.0,,,,,,,,15.0
143,,21.0,9.0,,,,,17.0,,,,,,,,14.0
144,,21.0,15.0,,,,,19.0,,,,,,,,15.0
145,,9.0,15.0,,,,,10.0,,,,,,,,13.0
146,,20.0,14.0,,,,,17.0,,,,,,,,15.0
147,,23.0,12.0,,,,,17.0,,,,,,,,15.0
148,,21.0,20.0,,,,,17.0,,,,,,,,15.0
149,,11.0,15.0,,,,,15.0,,,,,,,,13.0
150,,11.0,10.0,,,,,11.0,,,,,,,,14.0
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,
308,,,,,,,,,,,,,,,,
309,,,,,,,,,,,,,,,,
310,,,,,,,,,,,,,,,,
311,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,
316,,,,,,,,,,,,,,,,
317,,,,,,,,,,,,,,,,
318,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,
322,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,
324,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,
330,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,
334,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,
338,,,,,,,,,,,,,,,,
339,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,
343,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,
346,,,,,,,,,,,,,,,,
347,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,
349,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
351,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,
354,,,,,,,,,,,,,,,,
355,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,
358,,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,,
365,,1.0,13.0,,,,,14.0,,,,,,,,13.0
366,,9.0,7.0,,,,,14.0,,,,,,,,13.0
367,,10.0,14.0,,,,,13.0,,,,,,,,12.0
368,,10.0,8.0,,,,,14.0,,,,,,,,13.0
369,,22.0,14.0,,,,,8.0,,,,,,,,12.0
370,,23.0,12.0,,,,,14.0,,,,,,,,11.0
371,,2.0,9.0,,,,,10.0,,,,,,,,12.0
372,,1.0,16.0,,,,,14.0,,,,,,,,12.0
373,,11.0,12.0,,,,,11.0,,,,,,,,13.0
374,,9.0,14.0,,,,,10.0,,,,,,,,11.0
375,,11.0,12.0,,,,,11.0,,,,,,,,14.0
376,,11.0,12.0,,,,,15.0,,,,,,,,12.0
377,,22.0,12.0,,,,,12.0,,,,,,,,12.0
378,,22.0,11.0,,,,,12.0,,,,,,,,12.0
379,,3.0,13.0,,,,,12.0,,,,,,,,12.0
380,,8.0,18.0,,,,,9.0,,,,,,,,16.0
381,,11.0,15.0,,,,,16.0,,,,,,,,13.0
382,,23.0,12.0,,,,,6.0,,,,,,,,12.0
383,,11.0,11.0,,,,,13.0,,,,,,,,13.0
384,,11.0,13.0,,,,,15.0,,,,,,,,13.0
385,,23.0,14.0,,,,,13.0,,,,,,,,13.0
386,,2.0,19.0,,,,,12.0,,,,,,,,12.0
387,,6.0,14.0,,,,,21.0,,,,,,,,12.0
388,,9.0,8.0,,,,,11.0,,,,,,,,13.0
389,,11.0,12.0,,,,,14.0,,,,,,,,13.0
390,,11.0,15.0,,,,,11.0,,,,,,,,13.0
391,,9.0,14.0,,,,,11.0,,,,,,,,12.0
392,,23.0,12.0,,,,,14.0,,,,,,,,12.0
393,,3.0,19.0,,,,,13.0,,,,,,,,13.0
394,,7.0,14.0,,,,,11.0,,,,,,,,12.0
395,,8.0,6.0,,,,,12.0,,,,,,,,12.0
396,,22.0,12.0,,,,,16.0,,,,,,,,13.0
397,,22.0,11.0,,,,,16.0,,,,,,,,13.0
398,,21.0,20.0,,,,,12.0,,,,,,,,12.0
399,,11.0,19.0,,,,,14.0,,,,,,,,12.0
400,,2.0,11.0,,,,,15.0,,,,,,,,12.0
401,,11.0,13.0,,,,,10.0,,,,,,,,12.0
402,,1.0,17.0,,,,,,,,,,,,,13.0
403,,11.0,17.0,,,,,15.0,,,,,,,,13.0
404,,7.0,8.0,,,,,13.0,,,,,,,,12.0
405,,10.0,9.0,,,,,11.0,,,,,,,,11.0
406,,2.0,14.0,,,,,15.0,,,,,,,,15.0
407,,2.0,19.0,,,,,11.0,,,,,,,,11.0
408,,9.0,15.0,,,,,10.0,,,,,,,,12.0
409,,10.0,18.0,,,,,10.0,,,,,,,,11.0
410,,22.0,13.0,,,,,13.0,,,,,,,,12.0
411,,9.0,19.0,,,,,13.0,,,,,,,,12.0
412,,22.0,9.0,,,,,11.0,,,,,,,,12.0
413,,2.0,11.0,,,,,10.0,,,,,,,,12.0
414,,2.0,13.0,,,,,9.0,,,,,,,,12.0
415,,9.0,18.0,,,,,13.0,,,,,,,,12.0
416,,22.0,19.0,,,,,14.0,,,,,,,,13.0
417,,9.0,8.0,,,,,14.0,,,,,,,,12.0
418,,10.0,11.0,,,,,10.0,,,,,,,,12.0
419,,23.0,19.0,,,,,13.0,,,,,,,,11.0
420,,1.0,12.0,,,,,13.0,,,,,,,,12.0
421,,1.0,17.0,,,,,11.0,,,,,,,,12.0
422,,10.0,14.0,,,,,12.0,,,,,,,,12.0
423,,23.0,9.0,,,,,11.0,,,,,,,,12.0
424,,10.0,16.0,,,,,15.0,,,,,,,,12.0
425,,23.0,12.0,,,,,16.0,,,,,,,,12.0
426,,3.0,8.0,,,,,13.0,,,,,,,,12.0
427,,23.0,9.0,,,,,12.0,,,,,,,,12.0
428,,9.0,14.0,,,,,13.0,,,,,,,,12.0
429,,10.0,14.0,,,,,10.0,,,,,,,,12.0
430,,9.0,13.0,,,,,9.0,,,,,,,,12.0
431,,11.0,16.0,,,,,13.0,,,,,,,,12.0
432,,11.0,12.0,,,,,9.0,,,,,,,,12.0
433,,11.0,11.0,,,,,13.0,,,,,,,,12.0
434,,12.0,12.0,,,,,14.0,,,,,,,,13.0
435,,22.0,13.0,,,,,8.0,,,,,,,,12.0
