,hmCH4,hmCO,hmPM10,hmPM25,hmNO2,hmNO,hmNOX,hmSO2,hmWD,hmRH,hmTEMP,hmWS,hmHCNM,hmUVA,hmUVB,hmO3
0,,5.0,15.0,,,,,7.0,,,,,,,,15.0
1,,21.0,16.0,,,,,19.0,,,,,,,,11.0
2,,8.0,8.0,,,,,9.0,,,,,,,,13.0
3,,21.0,18.0,,,,,3.0,,,,,,,,13.0
4,,1.0,19.0,,,,,1.0,,,,,,,,13.0
5,,1.0,7.0,,,,,8.0,,,,,,,,11.0
6,,7.0,9.0,,,,,8.0,,,,,,,,11.0
7,,23.0,15.0,,,,,9.0,,,,,,,,14.0
8,,3.0,12.0,,,,,7.0,,,,,,,,11.0
9,,23.0,9.0,,,,,22.0,,,,,,,,13.0
10,,8.0,19.0,,,,,8.0,,,,,,,,12.0
11,,6.0,5.0,,,,,7.0,,,,,,,,15.0
12,,7.0,5.0,,,,,13.0,,,,,,,,12.0
13,,7.0,13.0,,,,,13.0,,,,,,,,11.0
14,,9.0,15.0,,,,,14.0,,,,,,,,11.0
15,,6.0,9.0,,,,,1.0,,,,,,,,11.0
16,,7.0,13.0,,,,,7.0,,,,,,,,11.0
17,,7.0,5.0,,,,,7.0,,,,,,,,12.0
18,,7.0,8.0,,,,,2.0,,,,,,,,11.0
19,,8.0,8.0,,,,,14.0,,,,,,,,12.0
20,,7.0,12.0,,,,,12.0,,,,,,,,11.0
21,,7.0,17.0,,,,,12.0,,,,,,,,11.0
22,,1.0,13.0,,,,,14.0,,,,,,,,11.0
23,,7.0,8.0,,,,,8.0,,,,,,,,15.0
24,,9.0,10.0,,,,,20.0,,,,,,,,13.0
25,,9.0,15.0,,,,,9.0,,,,,,,,12.0
26,,7.0,11.0,,,,,,,,,,,,,12.0
27,,,9.0,,,,,,,,,,,,,12.0
28,,,16.0,,,,,,,,,,,,,12.0
29,,,18.0,,,,,,,,,,,,,11.0
30,,,17.0,,,,,,,,,,,,,11.0
31,,,6.0,,,,,,,,,,,,,12.0
32,,,12.0,,,,,,,,,,,,,11.0
33,,,17.0,,,,,,,,,,,,,11.0
34,,21.0,10.0,,,,,,,,,,,,,11.0
35,,8.0,11.0,,,,,,,,,,,,,10.0
36,,1.0,13.0,,,,,,,,,,,,,12.0
37,,2.0,12.0,,,,,,,,,,,,,11.0
38,,7.0,6.0,,,,,,,,,,,,,12.0
39,,9.0,9.0,,,,,,,,,,,,,16.0
40,,23.0,5.0,,,,,,,,,,,,,15.0
41,,23.0,19.0,,,,,,,,,,,,,14.0
42,,23.0,19.0,,,,,,,,,,,,,13.0
43,,1.0,17.0,,,,,,,,,,,,,12.0
44,,6.0,14.0,,,,,,,,,,,,,12.0
45,,9.0,8.0,,,,,,,,,,,,,11.0
46,,7.0,10.0,,,,,,,,,,,,,13.0
47,,8.0,10.0,,,,,18.0,,,,,,,,12.0
48,,7.0,9.0,,,,,5.0,,,,,,,,10.0
49,,7.0,15.0,,,,,6.0,,,,,,,,12.0
50,,21.0,10.0,,,,,2.0,,,,,,,,6.0
51,,6.0,5.0,,,,,14.0,,,,,,,,16.0
52,,6.0,14.0,,,,,12.0,,,,,,,,11.0
53,,7.0,11.0,,,,,12.0,,,,,,,,11.0
54,,2.0,13.0,,,,,14.0,,,,,,,,9.0
55,,23.0,9.0,,,,,12.0,,,,,,,,16.0
56,,8.0,11.0,,,,,7.0,,,,,,,,11.0
57,,7.0,11.0,,,,,13.0,,,,,,,,11.0
58,,7.0,15.0,,,,,8.0,,,,,,,,14.0
59,,7.0,14.0,,,,,8.0,,,,,,,,11.0
60,,23.0,6.0,,,,,12.0,,,,,,,,17.0
61,,4.0,15.0,,,,,12.0,,,,,,,,11.0
62,,7.0,15.0,,,,,7.0,,,,,,,,11.0
63,,6.0,15.0,,,,,9.0,,,,,,,,12.0
64,,7.0,17.0,,,,,13.0,,,,,,,,11.0
65,,7.0,9.0,,,,,8.0,,,,,,,,10.0
66,,7.0,15.0,,,,,15.0,,,,,,,,11.0
67,,8.0,16.0,,,,,7.0,,,,,,,,11.0
68,,7.0,10.0,,,,,7.0,,,,,,,,11.0
69,,7.0,6.0,,,,,7.0,,,,,,,,11.0
70,,7.0,9.0,,,,,13.0,,,,,,,,11.0
71,,5.0,16.0,,,,,13.0,,,,,,,,11.0
72,,7.0,5.0,,,,,13.0,,,,,,,,12.0
73,,8.0,11.0,,,,,8.0,,,,,,,,12.0
74,,7.0,12.0,,,,,7.0,,,,,,,,11.0
75,,7.0,13.0,,,,,13.0,,,,,,,,11.0
76,,7.0,14.0,,,,,7.0,,,,,,,,10.0
77,,7.0,8.0,,,,,13.0,,,,,,,,12.0
78,,1.0,13.0,,,,,8.0,,,,,,,,10.0
